,aerobic_lb,aerobic_EX_cm_e,aerobic_EX_lys__L_e,aerobic_EX_dmso_e,anaerobic_lb,anaerobic_EX_cm_e,anaerobic_EX_lys__L_e,anaerobic_EX_dmso_e
hcaB,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
tdcC,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
sapD,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
ugd,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
fpr,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
tnaB,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
cusF,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
pgpA,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
ccmE,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
gss,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
xylF,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
entC,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
add,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
aldB,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
srlE,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
dgoD,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
aroF,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
pyrF,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
nudB,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
lysC,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
rhtC,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
yliI,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
entD,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
cyaA,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
lacY,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
nrdF,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
fecA,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
