,aerobic_lb,aerobic_EX_cm_e,aerobic_EX_lys__L_e,aerobic_EX_dmso_e,anaerobic_lb,anaerobic_EX_cm_e,anaerobic_EX_lys__L_e,anaerobic_EX_dmso_e
hcaB,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
tdcC,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
sapD,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
ugd,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
fpr,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
tnaB,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
cusF,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
pgpA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
ccmE,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
gss,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
xylF,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
entC,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
add,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
aldB,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
srlE,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
dgoD,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
aroF,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
pyrF,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
nudB,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
lysC,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
rhtC,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
yliI,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
entD,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
cyaA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
lacY,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
nrdF,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
fecA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
rhtB,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
